Item_number,Project_name,Publication_year,Original_journal,Author_n_surname,Version,Sensory_experience,Type,Genre,Accessibility_Software,Computer_languages,Interaction_level,Preservation_status,S_p_tool
1,A Study in Conveyance,2000,The New River Journal,R. Kendall,1.0,Sight,Hypertext poetry,Poetry,"Graphical Navigation, Observation; Web Browser","CSS, HTML, JavaScript",Medium,Perfect,none
2,A Sky of Cinders,2007,The New River Journal,T. Lockridge,2.0,"Sight, Sound","Hypertext fiction, Hypertext Poetry","Poetry, Short Story","Graphical Navigation, Observation; Flash plugin, Web Browser","CSS, HTML",Medium,Partial,Ruffle preserved
3,Animals are placebos,2008,The New River Journal,"C. Bellin, J. L. Smith",2.0,"Sight, Sound",Literary games,Narrative,"Geographical Navigation, Selection; Flash plugin, Web Browser","CSS, HTML, JavaScript",Low-Medium,Perfect,Ruffle plug-in
4,Arteroids 2.5,2003,Poems That GO,J. Andrews,2.5,"Kinesthetic Involvement, Sight","Literary games, Kinetic poetry",Poetry,Shockwave plugin,unknown,High,Perfect,Playthrough plug-in 
5,Blood Sugar,2012,Vectors,"S. Daniel, E. Loyer",1.0,"Sight, Sound",Local narrative and installation,Essay,"Flash plugin, Web Browser","PHP, SQL",High,Perfect,none
6,Branded,Unpublished,frAme,"K. Pullinger, T. Memmott",2.0,"Sight, Sound",Interactive fiction,Narrative,"Graphical Navigation, Observation, Selection; Flash Plugin, Web Browser",unknown,Medium,Perfect,none
7,Breath,2001,Riding the Meridian,"D. Knoebel, R. Strasser",1.0,"Sight, Sound",Hypertext poetry,Poetry,Graphical Navigation; Web Browser,HTML,Medium,Perfect,none
8,Cruising,2001,Poems That GO,"I. Ankerson, M. Sapnar",2.0,"Sight, Sound","Kinetic, ""Flash"" poetry",Narrative,"Flash Plugin, Web Browser","HTML, JavaScript",Medium-High,Perfect,Ruffle plug-in
9,DO IT,2018,The New River Journal,S. Bouchardon,1.0,"Gesture, Haptic Feedback, Sight, Sound, Touch",Literary games,Narrative Fiction,"Graphical Navigation, Observation, Selection ",unknown,High,Perfect,none
10,Enigma n,1998,Cauldron & Net,J. Andrews,1.0,Sight,Literary games,Poetry,"Graphical Navigation, Selection; Web Browser",DHTML,Unverifiable,Undergoing preservation,none
11,"Excerpt from ""We Descend""",1998,Word Circuits,B. Bly,1.1,Sight,Hypertext fiction,Novel,Web Browser,HTML,Medium,Perfect,update after maintenance
12,Firefly,2002,Poems That GO,D. Larsen,2.0,Sight,Hypertext poetry,Poetry,"Flash Plugin, Web Browser","HTML, JavaScript",Medium-High,Perfect,Ruffle plug-in
13,Four Guillenets,2012,The New River Journal,L. P. Glazier,1.0,Sight,Hypertext poetry,Poetry,"Graphical Navigation, Observation, Selection; Web Browser","CSS, HTML, JavaScript",Medium,Perfect,none
14,Free Haiku,2002,Poems That GO,"The Dada Sprockets, I. Ankerson",1.0,Sight,Interactive fiction and literary games,Poetry,"Flash Plugin, Web Browser","HTML, JavaScript",Medium-High,Perfect,Conifer plug-in
15,Girl/Birth/Water/Death,1995,Riding the Meridian,M. Conway,1.0,Sight,Hypertext fiction,Narrative,unknown,unknown,Unverifiable,Unavaiable,none
16,Language of the void,1999,Riding the Meridian,D. Larsen,1.0,Sight,Hypertext poetry,Poetry,unknown,unknown,Medium,Perfect,none
17,Light-Water: a Mosaic of Meditation,1999,The New River Journal,C. S. Sanford,1.0,Sight,Hypertext poetry,Poetry,"Graphical Navigation, Observation; Web Browser",DHTML,Medium,Perfect,none
18,Narrating Bits,2005,Vectors,"N. K. Hayles, E. Loyer, E. Rodenbeck, M. Migurski, T. Apodaca",1.0,Sight,Interactive fiction,Essay,"Flash Plugin, Web Browser","CSS, JavaScript, PHP, SQL, XHTML",Medium-High,Partial,recording only
19,Public Secrets,2007,Vectors,"S. Daniel, E. Loyer",1.0,"Sight, Sound",Local narrative and installation,Essay,"Flash plugin, Web browser","CSS, HTML, JavaScript",High,Perfect,Playthrough plug-in
20,Reach,2001,Riding the Meridian,M. Joyce,1.0,Sight,Hypertext fiction,Narrative,unknown,unknown,High,Perfect,none
